seller_id,seller_city,seller_state,orders,revenue,avg_delivery_days,on_time_rate
0015a82c2db000af6aaaf3ae2ecb0532,santo andre,SP,3,2685.0,10.79,100.0
001cca7ae9ae17fb1caed9dfb1094831,cariacica,ES,195,24487.03,13.1,94.44
002100f778ceb8431b7a1020ff7ab48f,franca,SP,50,1216.6,16.19,83.33
003554e2dce176b5555353e4f3555ac8,goiania,GO,1,120.0,4.65,100.0
004c9cd9d87a3c30c522c48c4fc07416,ibitinga,SP,156,19569.73,14.43,92.26
00720abe85ba0859807595bbf045a33b,guarulhos,SP,13,1007.5,8.53,92.31
00ab3eff1b5192e5f1a63bcecfee11c8,sao paulo,SP,1,98.0,9.05,100.0
00d8b143d12632bad99c0ad66ad52825,belo horizonte,MG,1,86.0,7.23,100.0
00ee68308b45bc5e2660cd833c3f81cc,sao paulo,SP,135,20260.0,9.17,91.86
00fc707aaaad2d31347cf883cd2dfe10,maringa,PR,103,12684.9,15.77,95.56
010543a62bd80aa422851e79a3bc7540,sao paulo,SP,2,1416.0,9.09,100.0
010da0602d7774602cd1b3f5fb7b709e,sao bernardo do campo,SP,1,849.5,26.11,100.0
011b0eaba87386a2ae96a7d32bb531d1,pompeia,SP,1,99.98,25.18,100.0
01266d4c46afa519678d16a8b683d325,curitiba,PR,3,90.25,5.92,100.0
013900e863eace745d3ec7614cab5b1a,curitiba,PR,23,1619.7,11.49,100.0
014c0679dd340a0e338872e7ec85666a,timoteo,MG,14,7058.0,19.02,86.67
014d9a685fd57276679edd00e07089e5,maringa,PR,11,729.88,8.84,100.0
0176f73cc1195f367f7b32db1e5b3aa8,ibitinga,SP,37,4643.2,13.38,89.47
01bcc9d254a0143f0ce9791b960b2a47,uruacu,GO,10,1393.21,12.79,100.0
01c97ebb5cdac52891c0ed1c37ba0012,catanduva,SP,9,577.5,12.71,100.0
01cf7e3d21494c41fb86034f2e714fa1,francisco beltrao,PR,59,9439.56,11.57,95.38
01ed254b9ff8407dfb9d99ba1e17d923,mogi das cruzes,SP,5,1465.99,6.68,100.0
01fd077212124329bac32490e8ef80d9,ribeirao preto / sao paulo,SP,31,1208.0,7.99,97.44
01fdefa7697d26ad920e9e0346d4bd1b,londrina,PR,128,14802.53,10.75,93.85
0241d4d5d36f10f80c644447315af0bd,curitiba,PR,238,31397.7,10.94,94.31
0249d282d911d23cb8b869ab49c99f53,sao paulo,SP,11,393.0,10.26,81.82
024b564ae893ce8e9bfa02c10a401ece,sao paulo,SP,2,706.4000000000001,18.19,100.0
028872bfa080090a9d0abd4f1af168f8,ribeirao das neves,MG,1,70.5,16.48,100.0
02b72cdeb9cfcc429f1af6f4e3f3b737,ibitinga,SP,4,522.65,12.51,100.0
02c988090b766852e088c69d7fb3b551,americana,SP,12,1564.3700000000001,8.52,100.0
02d35243ea2e497335cd0f076b45675d,natal,RN,14,5794.0,25.81,62.5
02dcd3e8e25bee036e32512bcf175493,contagem,MG,13,1341.9,17.23,66.67
02ecc2a19303f05e59ce133fd923fff7,santo andre,SP,21,5264.19,10.82,100.0
02f5837340d7eb4f653d676c7256523a,curitiba,PR,30,3883.05,9.66,96.67
02f623a8eb246f3c5f7c2f96462654e6,botucatu,SP,44,6378.0,8.48,90.91
0307f7565ff85b299b6e5ef162b1b1a9,sao jose do rio preto,SP,6,4711.9,15.2,100.0
0336182e1b3e92f029d5354832045fdf,ibitinga,SP,1,29.8,13.06,100.0
034b9387752bfa309f350a70cd45ffa3,blumenau,SC,8,96.0,8.51,100.0
038b75b729c8a9a04b0d07cba7eabe86,sao jose dos campos,SP,2,467.0,22.55,50.0
039b29ff3b3473435d0cd59040575de9,ribeirao pires,SP,9,114.9,9.11,100.0
039e6ad9dae79614493083e241147386,sao paulo,SP,5,12925.0,14.59,80.0
03a2a6dcbe45d639c4dc2a0d24769c40,maua,SP,9,1078.41,10.45,88.89
03bd479e1d9484cdb14104d3023f7321,uberlandia,MG,3,359.70000000000005,20.47,66.67
0417b067eeab773d2f7061a726dc477f,sao bento do sul,SC,13,1859.18,17.56,69.23
042573af89b6d931f672efaf789d8358,sorocaba,SP,3,413.48,20.02,66.67
04308b1ee57b6625f47df1d56f00eedf,bombinhas,SC,92,58991.8,18.88,88.04
0432ead42b6c8a0bdf68154add917fdf,maua,SP,82,7574.400000000001,8.86,96.55
044668ccd5316b12a7cf0d54a156e3e9,osasco,SP,3,137.8,7.2,100.0
04843805947f0fc584fc1969b6e50fe7,ivoti,RS,1,1400.0,15.04,0.0
048c2757535328e0d7dac690ad3c0aae,franca,SP,50,9065.08,18.51,86.0
04aa0a1c5ce6b222003403a3e11c3cc0,cosmopolis,SP,11,5518.0,16.37,88.24
04aba03279157f6d4e0fe8ccaf21963c,santo antonio de padua,RJ,15,2416.0,11.62,93.33
04e38a233f726ef161074ab1c9b0399a,sao paulo,SP,19,991.6,11.58,87.5
04ee0ec01589969663ba5967c0e0bdc0,lajeado,RS,1,289.49,3.07,100.0
04fdea0c111866e6cf812f1570d6b5bd,sao paulo,SP,8,865.0,18.0,87.5
0509040ea3fe50071181bbc359eb7738,belo horizonte,MG,87,3689.35,11.38,93.75
052577151711aec5c744fe12e66db3e1,rodeio,SC,1,687.0,14.03,100.0
054694fa03fe82cec4b7551487331d74,itajobi,SP,20,8286.1,30.17,71.43
056b4ada5bbc2c50cc7842547dda6b51,queimados,RJ,64,12203.400000000001,12.71,89.23
0570350b23eda5444f8d1d9544932058,sao paulo,SP,6,626.9,4.8,100.0
05730013efda596306417c3b09302475,criciuma,SC,4,952.0,9.45,100.0
058cb5aeb36d7c0fcae20fc85d5e0a59,rio de janeiro,RJ,11,1236.0,9.68,91.67
058fd0aa2bfdb2274e05e1ae971dabb6,santo andre,SP,60,7549.9,10.22,92.06
05a48cc8859962767935ab9087417fbb,sao paulo,SP,1,42.9,11.28,100.0
05a940b4ecae36cadfd8e93bd9c43257,goiania,GO,9,695.1,14.25,100.0
05aebce0b5c8f0d41b29b686f2d05fd3,sao paulo,SP,2,74.99000000000001,6.0,50.0
05ca864204d09595ae591b93ea9cf93d,barueri,SP,1,179.9,5.17,0.0
05d2173d43ea568aa0540eba70d2ca76,alfenas,MG,62,5759.66,14.65,93.94
05e107217c7266362fd44b75b2cd4cc4,sao paulo - sp,SP,5,193.38,6.8,50.0
05f51e13da97139648b8125c31e5f51b,belo horizonte,MG,57,13100.31,12.29,85.0
05feb94f19d094d4b0f9281f0b1d4c99,mogi das cruzes,SP,6,9353.0,15.37,100.0
05ff92fedb5be47920fea08e501238b9,santo angelo,RS,57,21235.98,12.25,95.0
062c325cd6a2b87845fab56b4ec2eeae,sao paulo,SP,2,133.22,5.5,100.0
062ce95fa2ad4dfaedfc79260130565f,lajeado,RS,54,7479.1,13.34,96.61
06532f10282704ef4c69168b914b77be,paincandu,PR,7,9827.95,16.55,100.0
06579cb253ecd5a3a12a9e6eb6bf8f47,sao paulo - sp,SP,61,4587.400000000001,10.96,84.29
066a6914e1ebf3ea95a216c73a986b91,foz do iguacu,PR,66,8956.380000000001,14.17,95.83
0691148aee60ca47977c187804f935ae,londrina,PR,47,5868.51,13.01,96.23
0692610d8abe24f287e9fae90ea0bbee,sao paulo,SP,4,173.99,6.6,75.0
06a2c3af7b3aee5d69171b0e14f0ee87,sao luis,MA,389,36097.979999999996,17.74,76.37
06bb3a2fe5e7b7a845b13e8fb91bd944,belo horizonte,MG,17,1536.19,8.9,100.0
06df0c10d34e459d9672bc77388742eb,maringa,PR,26,9070.0,9.7,90.0
06e5eefc71ec47ae763c5c6f8db7064f,porto alegre,RS,90,21648.670000000002,10.97,97.85
07017df32dc5f2f1d2801e579548d620,joao pessoa,PB,8,946.49,10.18,100.0
070d165398b553f3b4b851c216b8a358,sao paulo,SP,31,3333.17,11.01,86.84
0725b8c0f3f906e58f70cbe76b7c748c,guarulhos,SP,16,2161.52,11.78,80.56
0743a0239d764b9a0f959a57d07e36ab,sao paulo,SP,4,336.96,5.36,100.0
0747d5bb69f0586cc869d8af4c50f93e,saquarema,RJ,12,322.8,14.3,92.31
0761743cbffb25d7148189e9f1a5f03a,ribeirao preto,SP,3,241.2,14.52,100.0
077c5fae4bea9500e3737b16f71b9d3a,sorocaba,SP,4,106.80000000000001,7.97,100.0
0791d9fc1e30678ecf03d3e55fa108d3,belo horizonte,MG,5,842.0,6.25,100.0
079d295dcbf06ee8bb1b65ba964eb2b6,sao paulo,SP,5,349.3,6.92,100.0
07a9bc7f61396b658ddf3ac534efe44c,sao paulo,SP,1,119.9,6.0,100.0
07bf9669d84d1f11be443a9dd938f698,sao paulo,SP,18,1776.0,8.71,100.0
07d75e33f2750d97d467fb57e4dfdd8a,sao paulo,SP,2,722.4,11.8,100.0
07de60b03d150fb3ea09eab5da5e4c8b,ibitinga,SP,9,719.1,13.42,88.89
07e8e8fc5222bb358e6f259da3197074,sao paulo,SP,2,51.8,8.64,100.0
080102cd0a76b09e0dcf55fcacc60e05,belo horizonte,MG,122,5612.65,9.72,96.09
080199a181c46c657dc5aa235411be3b,osasco,SP,79,14504.2,8.11,97.59
08061dc0fc165ed41288cc7acde738ee,osasco,SP,4,123.80000000000001,20.07,75.0
08084d990eb3f53af056ccbc1730c8a7,sao paulo,SP,12,372.5,8.5,100.0
081acf3de680d554796c9cf041be7bc2,vespasiano,MG,4,1597.3,13.58,87.5
082e0bf4cb865a6533b1e8e498cc0255,botucatu,SP,11,2073.3,13.15,86.96
085f6f7e049c996695fb2074fe38d45e,taubate,SP,6,305.4,10.33,100.0
08633c14ef2db992c11f840f04fad4cd,ribeirao pires,SP,74,7644.3,10.11,93.81
0873d9f8f36123f8d910f4760e788cfb,barueri,SP,6,7265.59,13.13,50.0
0885aaf116795758dfeb5f1032487bcd,ferraz de vasconcelos,SP,27,2573.1000000000004,5.74,96.55
0887a9f087bcd5d9f6642b52f897fc6c,cananeia,SP,12,1642.0,14.24,91.67
08ad4ac1388e4420ca531c3edfc46198,itapevi,SP,6,221.61999999999998,7.05,100.0
